Datetime,Open,High,Low,Close
2022-02-10 01:43:00+00:00,44227.47265625,44227.47265625,44227.47265625,44227.47265625
2022-02-10 01:44:00+00:00,44225.3046875,44225.3046875,44225.3046875,44225.3046875
2022-02-10 01:45:00+00:00,44224.76171875,44224.76171875,44224.76171875,44224.76171875
2022-02-10 01:46:00+00:00,,,,
2022-02-10 01:47:00+00:00,44235.45703125,44235.45703125,44235.45703125,44235.45703125
2022-02-10 01:48:00+00:00,44234.2890625,44234.2890625,44234.2890625,44234.2890625
2022-02-10 01:49:00+00:00,44250.51171875,44250.51171875,44250.51171875,44250.51171875
2022-02-10 01:50:00+00:00,,,,
2022-02-10 01:51:00+00:00,44247.6953125,44247.6953125,44247.6953125,44247.6953125
2022-02-10 01:52:00+00:00,,,,
2022-02-10 01:53:00+00:00,44228.9609375,44228.9609375,44228.9609375,44228.9609375
2022-02-10 01:54:00+00:00,44226.59375,44226.59375,44226.59375,44226.59375
2022-02-10 01:55:00+00:00,,,,
2022-02-10 01:56:00+00:00,,,,
2022-02-10 01:57:00+00:00,,,,
2022-02-10 01:58:00+00:00,44239.9375,44239.9375,44239.9375,44239.9375
2022-02-10 01:59:00+00:00,44244.9921875,44244.9921875,44244.9921875,44244.9921875
2022-02-10 02:00:00+00:00,,,,
2022-02-10 02:01:00+00:00,44262.375,44262.375,44262.375,44262.375
2022-02-10 02:02:00+00:00,44257.48828125,44257.48828125,44257.48828125,44257.48828125
2022-02-10 02:03:00+00:00,,,,
2022-02-10 02:04:00+00:00,44257.88671875,44257.88671875,44257.88671875,44257.88671875
2022-02-10 02:05:00+00:00,,,,
2022-02-10 02:06:00+00:00,44249.0390625,44249.0390625,44249.0390625,44249.0390625
2022-02-10 02:07:00+00:00,44245.80859375,44245.80859375,44245.80859375,44245.80859375
2022-02-10 02:08:00+00:00,44252.25,44252.25,44252.25,44252.25
2022-02-10 02:09:00+00:00,,,,
2022-02-10 02:10:00+00:00,,,,
2022-02-10 02:11:00+00:00,,,,
2022-02-10 02:12:00+00:00,,,,
2022-02-10 02:13:00+00:00,44325.2578125,44325.2578125,44325.2578125,44325.2578125
2022-02-10 02:14:00+00:00,44324.89453125,44324.89453125,44324.89453125,44324.89453125
2022-02-10 02:15:00+00:00,44330.91796875,44330.91796875,44330.91796875,44330.91796875
2022-02-10 02:16:00+00:00,44321.78125,44321.78125,44321.78125,44321.78125
2022-02-10 02:17:00+00:00,44323.56640625,44323.56640625,44323.56640625,44323.56640625
2022-02-10 02:18:00+00:00,44315.81640625,44315.81640625,44315.81640625,44315.81640625
